id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
15194147,ECONOMY 1BEDROOM APARTMENT 2F IN WAIKIKI,92503969,AirElmos   WAIKIKI,Waikiki,-157.82313,21.27982,Apartment,Entire home/apt,3,4,88,0,3,90,6,77,9
1520042,"Glorias:Sagrada Familia 15minutes, Beach 20minutes",8113530,Marcos,El Clot,2.19013,41.40625,Apartment,Entire home/apt,4,5,85,270,3,31,226,96,1
15206608,"Bright,cozy,quiet,walking distance metro,park ...",96588498,Emma,Verdun,-73.57098,45.45145,Apartment,Entire home/apt,2,4,58,82,3,120,97,98,2
15207202,Most enviable location in the West Village,9615831,Margaret,South Yarra,-74.00255,40.73523,Apartment,Private room,2,2,130,23,6,26,17,99,2
15207920,Confortável Flat com serviços e em frente a praia,14334959,Mauricio,South Yarra,-43.32853022,-23.01103824,Apartment,Entire home/apt,4,4,298,355,3,1125,2,100,1
15208698,Little Slice of Paradise Mauna Lani,96609611,William,Island of Hawaiʻi,-155.85528,19.94625,Townhouse,Entire home/apt,3,5,228,101,6,15,2,100,1
152259,City Room - Semi Private Bedroom,256161,Wayne,Harlem,-73.94571,40.81156,Apartment,Private room,1,1,55,365,3,31,115,94,5
15239628,Lenox Av. Apartment,95611302,Katerina,Harlem,-73.94504,40.81036,Apartment,Private room,2,2,71,179,1,1125,31,98,1
15241263,King Bdrm w/private bath/ocean view,78729820,MiMi,Kaimuki,-157.78624,21.29329,House,Private room,1,2,100,227,2,21,133,99,1
15244301,Share a flat in a lovely penthouse with terrace,5752297,Mireia,Sants-Montjuïc,2.12841,41.37419,Apartment,Private room,1,2,23,74,1,15,23,98,1
15245956,Modern House + Granny Flat sleeps 10+,2744842,Charlie,Surry Hills,151.2154,-33.88424,House,Entire home/apt,3,8,350,0,3,1125,1,80,3
15248025,Quarto Ipanema - Praça General Osório,96962836,Igor,Surry Hills,-43.19853374,-22.98223425,Apartment,Private room,1,2,138,359,2,20,6,95,2
15257124,COMFORTABLE & COZY! MAUI BY DAY...RELAX AT NIGHT!!,38354021,Ralph,Maui,-156.50624,20.79562,Apartment,Entire home/apt,1,2,110,170,5,30,21,100,3
152630,Nice and sunny condo/Outremont,734359,Nicole,Outremont,-73.61799,45.51719,Apartment,Entire home/apt,3,4,115,358,7,90,4,87,1
152645,P'ville Studio-NOT a shared space,710680,Karl&Rachel,Kauaʻi,-159.47746,22.22274,Condominium,Entire home/apt,1,2,85,129,3,730,121,90,4
15272987,Quiet and Private Up In Hawi,97178439,Orange,North Kohala,-155.83072,20.21631,Guesthouse,Entire home/apt,1,2,115,360,2,14,22,100,1
15273682,College Style of Downtown Mtl,48013451,Jessica & Edi,Downtown Montreal,-73.58133,45.4971,Apartment,Entire home/apt,1,5,50,77,1,1125,45,91,30
15284591,COMFORTABLE AND IN THE CENTER.,94087673,Juan Pablo,Downtown Montreal,2.1633,41.37391,Apartment,Private room,1,1,18,161,1,1125,115,95,3
15285714,Country Oasis Pa'ala Kai,39389132,North Shore Country Living,North Shore,-158.111,21.56933,House,Entire home/apt,4,6,99,321,2,1125,78,95,11
15285878,Gorgeous Ocean Front Home w/ Salt Water Pool,6400197,Mahi,Hilo,-155.09392,19.86134,House,Entire home/apt,5,10,450,233,3,1125,42,100,1
15286461,Poipu Peaceful Garden Retreat With Pool & Jacuzzi *Kahala 913*,97006413,Suite Paradise,Kauaʻi,-159.44913,21.87529,Condominium,Entire home/apt,1,4,143,262,3,90,3,100,121
15294219,Newly renovated + Explore like local,6067974,Wilson,Fortress Hill,114.19362,22.28933,Apartment,Entire home/apt,3,6,997,183,30,1124,6,100,22
1530241,Studio in Rio block from the beach,8156211,Giovanna,Copacabana,-43.18774737,-22.9750886,Loft,Entire home/apt,1,4,172,324,4,1125,22,94,13
15307723,Chez NHN,46395095,Ndioro Hélène,Westmount,-73.6053,45.48849,Apartment,Entire home/apt,1,2,81,0,2,5,1,100,1
15309509,Elegant 2BD in Time Sq with W/D!,97417890,Angela,Westmount,-73.98087,40.73806,Apartment,Entire home/apt,5,7,429,291,3,1125,96,89,4
15312988,Sunny Room (for One) Minutes from Coogee Beach!,59233953,Cindy,Randwick,151.24591,-33.91446,Apartment,Private room,1,1,43,219,2,25,94,96,1
15314458,Price Right Great Waikiki Location,97564051,Trans Pacific,Waikiki,-157.82213,21.27906,Apartment,Entire home/apt,2,3,80,228,1,1125,94,95,12
