,id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
114,10664888,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,35484736,Tim,,-8.61279,41.14106,Apartment,Entire home/apt,2,4,55.00,243,2,28,62,97,4
115,1067052,Nani La 'Ao (A Beautiful Day) Upstairs Suite,1121661,Sherri,Island of Hawaiʻi,-155.02503,19.56081,House,Entire home/apt,1,2,72.00,352,3,25,18,96,2
116,1067052,Nani La 'Ao (A Beautiful Day) Upstairs Suite,1121661,Sherri,Island of Hawaiʻi,-155.02503,19.56081,House,Entire home/apt,1,2,72.00,352,3,25,18,96,2
117,1067052,Nani La 'Ao (A Beautiful Day) Upstairs Suite,1121661,Sherri,Island of Hawaiʻi,-155.02503,19.56081,House,Entire home/apt,1,2,72.00,352,3,25,18,96,2
118,10677883,Great location in Barcelona,6151720,Marina E Mickael,El Clot,2.19057,41.41254,Apartment,Entire home/apt,4,5,31.00,358,200,1125,2,60,3
119,1068505,Relaxing and Roomy in Crown Heights,2128778,Rachael,Crown Heights,-73.95667,40.67414,Apartment,Private room,1,2,50.00,64,2,45,46,96,2
120,1069531,"Asia House, Garden Room, Princevile",5884464,Coral,Kauaʻi,-159.48653,22.22739,Guest suite,Private room,1,2,139.00,276,3,21,167,93,2
121,1070322,Triple room Barcelona Guell park,5888954,Núria,Vila de Gràcia,2.15533,41.40686,Condominium,Private room,3,3,40.00,289,2,1125,191,82,2
122,10706900,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,15560428,Aline,Barra da Tijuca,-43.343027190397,-23.00878356989572,Apartment,Entire home/apt,3,5,451.00,329,3,1120,34,95,5
123,10706900,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,15560428,Aline,Barra da Tijuca,-43.343027190397,-23.00878356989572,Apartment,Entire home/apt,3,5,451.00,329,3,1120,34,95,5
124,1073607,Bright Inner West Terrace Value+,3082095,Natasa,Marrickville,151.15851,-33.89931,House,Private room,1,2,65.00,232,1,1125,84,96,3
